ticker,fund_name,asset_class,expense_ratio,fact_sheet_url,cusip
JEPI,JPMorgan Equity Premium Income ETF,U.S. Equity,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JEPI.PDF,46641Q332
JEPQ,JPMorgan Nasdaq Equity Premium Income ETF,U.S. Equity,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JEPQ.PDF,46654Q203
BBUS,JPMorgan BetaBuilders U.S. Equity ETF,U.S. Equity,0.0002,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBUS.PDF,46641Q399
JGRO,JPMorgan Active Growth ETF,U.S. Equity,0.0044,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JGRO.PDF,46654Q609
JQUA,JPMorgan U.S. Quality Factor ETF,U.S. Equity,0.0012,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JQUA.PDF,46641Q761
JAVA,JPMorgan Active Value ETF,U.S. Equity,0.0044,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JAVA.PDF,46641Q167
JTEK,JPMorgan U.S. Tech Leaders ETF,U.S. Equity,0.0065,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JTEK.PDF,46654Q732
JMEE,JPMorgan Small & Mid Cap Enhanced Equity ETF,U.S. Equity,0.0024,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JMEE.PDF,46641Q118
JMOM,JPMorgan U.S. Momentum Factor ETF,U.S. Equity,0.0012,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JMOM.PDF,46641Q779
JPEF,JPMorgan Equity Focus ETF,U.S. Equity,0.0044,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPEF.PDF,46654Q781
BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,U.S. Equity,0.0007,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBMC.PDF,46641Q340
LGDS,JPMorgan Fundamental Data Science Large Growth ETF,U.S. Equity,0.0030,,46654Q450
JVAL,JPMorgan U.S. Value Factor ETF,U.S. Equity,0.0012,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JVAL.PDF,46641Q753
JUSA,JPMorgan U.S. Research Enhanced Large Cap ETF,U.S. Equity,0.0012,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JUSA.PDF,46654Q617
BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity Fund,U.S. Equity,0.0009,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBSC.PDF,46641Q290
JPSE,JPMorgan Diversified Return U.S. Small Cap Equity ETF,U.S. Equity,0.0029,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPSE.PDF,46641Q845
JPME,JPMorgan Diversified Return U.S. Mid Cap Equity ETF,U.S. Equity,0.0024,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPME.PDF,46641Q886
JPUS,JPMorgan Diversified Return U.S. Equity ETF,U.S. Equity,0.0018,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPUS.PDF,46641Q407
ROCQ,JPMorgan Nasdaq Equity Premium Yield ETF,U.S. Equity,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-ROCQ.PDF,46654Q492
ROCY,JPMorgan Equity Premium Yield ETF,U.S. Equity,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-ROCY.PDF,46654Q518
JOYT,JPMorgan Equity and Options Total Return ETF,U.S. Equity,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JOYT.PDF,46654Q567
LVDS,JPMorgan Fundamental Data Science Large Value ETF,U.S. Equity,0.003,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-LVDS.PDF,46654Q583
JLVP,JPMorgan U.S. Large Cap Value Plus ETF,U.S. Equity,0.0105,,46654Q443
JPSV,JPMorgan Active Small Cap Value ETF,U.S. Equity,0.0055,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPSV.PDF,46654Q708
LCDS,JPMorgan Fundamental Data Science Large Core ETF,U.S. Equity,0.003,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-LCDS.PDF,46654Q682
JDIV,JPMorgan Dividend Leaders ETF,U.S. Equity,0.0047,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JDIV.pdf,46654Q658
JDOC,JPMorgan Healthcare Leaders ETF,U.S. Equity,0.0065,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JDOC.PDF,46654Q765
SCDS,JPMorgan Fundamental Data Science Small Core ETF,U.S. Equity,0.004,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-SCDS.PDF,46654Q666
MCDS,JPMorgan Fundamental Data Science Mid Core ETF,U.S. Equity,0.0035,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-MCDS.PDF,46654Q674
BBJP,JPMorgan BetaBuilders Japan ETF,International Equity,0.0019,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBJP.PDF,46641Q217
JIRE,JPMorgan International Research Enhanced Equity ETF,International Equity,0.0024,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JIRE.PDF,46641Q134
BBCA,JPMorgan BetaBuilders Canada ETF,International Equity,0.0019,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBCA.PDF,46641Q225
BBEU,JPMorgan BetaBuilders Europe ETF,International Equity,0.0009,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBEU.PDF,46641Q191
JGLO,JPMorgan Global Select Equity ETF,International Equity,0.0047,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JGLO.PDF,46654Q740
BBAX,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF,International Equity,0.0019,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBAX.PDF,46641Q233
BBIN,JPMorgan BetaBuilders International Equity ETF,International Equity,0.0007,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBIN.PDF,46641Q373
JIVE,JPMorgan International Value ETF,International Equity,0.0055,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JIVE.PDF,46654Q757
JEMA,JPMorgan ActiveBuilders Emerging Markets Equity ETF,International Equity,0.0033,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JEMA.PDF,46641Q266
BBEM,JPMorgan BetaBuilders Emerging Markets Equity ETF,International Equity,0.0015,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBEM.PDF,46654Q807
JIG,JPMorgan International Growth ETF,International Equity,0.0055,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JIG.PDF,46641Q324
JPIN,JPMorgan Diversified Return International Equity ETF,International Equity,0.0037,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPIN.PDF,46641Q209
JPEM,JPMorgan Diversified Return Emerging Markets Equity ETF,International Equity,0.0044,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JPEM.PDF,46641Q308
JADE,JPMorgan Active Developing Markets Equity ETF,International Equity,0.0065,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JADE.PDF,46654Q690
JIDE,JPMorgan International Dynamic ETF,International Equity,0.0055,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/fs-jide.pdf,46654Q534
JCHI,JPMorgan Active China ETF,International Equity,0.0015,https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-JCHI.PDF,46654Q880
